SigC,SigH,EpsC,EpsH,density
0.1,0.182,0.9858,0.06,662.02
0.1,0.182,0.9858,0.08,667.948
0.1,0.182,0.9858,0.1,675.002
0.1,0.182,0.9858,0.12,683.329
0.1,0.182,0.9858,0.14,691.19
0.1,0.182,1.1501,0.02,651.053
0.1,0.182,1.1501,0.04,654.295
0.1,0.182,1.1501,0.06,662.641
0.1,0.182,1.1501,0.08,666.582
0.1,0.182,1.1501,0.1,676.15
0.1,0.182,1.1501,0.12,680.347
0.1,0.182,1.1501,0.14,687.564
0.1,0.2275,0.1643,0.02,645.564
0.1,0.2275,0.1643,0.04,650.358
0.1,0.2275,0.1643,0.06,657.126
0.1,0.2275,0.1643,0.08,664.664
0.1,0.2275,0.1643,0.1,672.188
0.1,0.2275,0.1643,0.12,678.407
0.1,0.2275,0.1643,0.14,685.179
0.1,0.2275,0.3286,0.02,641.276
0.1,0.2275,0.3286,0.04,649.918
0.1,0.2275,0.3286,0.06,655.397
0.1,0.2275,0.3286,0.08,662.141
0.1,0.2275,0.3286,0.1,673.17
0.1,0.2275,0.3286,0.12,677.916
0.1,0.2275,0.3286,0.14,688.757
0.1,0.2275,0.4929,0.02,639.822
0.1,0.2275,0.4929,0.04,650.673
0.1,0.2275,0.4929,0.06,657.484
0.1,0.2275,0.4929,0.08,662.27
0.1,0.2275,0.4929,0.1,669.532
0.1,0.2275,0.4929,0.12,678.669
0.1,0.2275,0.4929,0.14,688.752
0.1,0.2275,0.6572,0.02,640.257
0.1,0.2275,0.6572,0.04,651.825
0.1,0.2275,0.6572,0.06,654.708
0.1,0.2275,0.6572,0.08,663.447
0.1,0.2275,0.6572,0.1,673.26
0.1,0.2275,0.6572,0.12,679.902
0.1,0.2275,0.6572,0.14,687.78
0.1,0.2275,0.8215,0.02,642.534
0.1,0.2275,0.8215,0.04,649.098
0.1,0.2275,0.8215,0.06,657.175
0.1,0.2275,0.8215,0.08,663.411
0.1,0.2275,0.8215,0.1,672.361
0.1,0.2275,0.8215,0.12,678.393
0.1,0.2275,0.8215,0.14,686.306
0.1,0.2275,0.9858,0.02,645.436
0.1,0.2275,0.9858,0.04,649.459
0.1,0.2275,0.9858,0.06,656.214
0.1,0.2275,0.9858,0.08,661.934
0.1,0.2275,0.9858,0.1,670.117
0.1,0.2275,0.9858,0.12,679.651
0.1,0.2275,0.9858,0.14,687.379
0.1,0.2275,1.1501,0.02,642.153
0.1,0.2275,1.1501,0.04,643.961
0.1,0.2275,1.1501,0.06,657.473
0.1,0.2275,1.1501,0.08,662.891
0.1,0.2275,1.1501,0.1,672.506
0.1,0.2275,1.1501,0.12,678.551
0.1,0.2275,1.1501,0.14,688.216
0.15,0.0455,0.1643,0.02,639.883
0.15,0.0455,0.1643,0.04,641.311
0.15,0.0455,0.1643,0.06,634.048
0.15,0.0455,0.1643,0.08,639.244
0.15,0.0455,0.1643,0.1,644.659
0.15,0.0455,0.1643,0.12,645.021
0.15,0.0455,0.1643,0.14,639.775
0.15,0.0455,0.3286,0.02,640.265
0.15,0.0455,0.3286,0.04,637.801
0.15,0.0455,0.3286,0.06,637.615
0.15,0.0455,0.3286,0.08,645.83
0.15,0.0455,0.3286,0.1,639.588
0.15,0.0455,0.3286,0.12,642.687
0.15,0.0455,0.3286,0.14,642.719
0.15,0.0455,0.4929,0.02,634.093
0.15,0.0455,0.4929,0.04,636.466
0.15,0.0455,0.4929,0.06,644.6
0.15,0.0455,0.4929,0.08,640.589
0.15,0.0455,0.4929,0.1,637.228
0.15,0.0455,0.4929,0.12,644.092
0.15,0.0455,0.4929,0.14,638.206
0.15,0.0455,0.6572,0.02,644.403
0.15,0.0455,0.6572,0.04,642.964
0.15,0.0455,0.6572,0.06,644.823
0.15,0.0455,0.6572,0.08,642.137
0.15,0.0455,0.6572,0.1,643.657
0.15,0.0455,0.6572,0.12,642.301
0.15,0.0455,0.6572,0.14,643.562
0.15,0.0455,0.8215,0.02,643.563
0.15,0.0455,0.8215,0.04,646.022
0.15,0.0455,0.8215,0.06,646.035
0.15,0.0455,0.8215,0.08,645.543
0.15,0.0455,0.8215,0.1,642.91
0.15,0.0455,0.8215,0.12,644.355
0.15,0.0455,0.8215,0.14,640.164
0.15,0.0455,0.9858,0.02,644.312
0.15,0.0455,0.9858,0.04,645.855
0.15,0.0455,0.9858,0.06,645.489
0.15,0.0455,0.9858,0.08,638.956
0.15,0.0455,0.9858,0.1,643.493
0.15,0.0455,0.9858,0.12,643.84
0.15,0.0455,0.9858,0.14,645.646
0.15,0.0455,1.1501,0.02,647.552
0.15,0.0455,1.1501,0.04,643.115
0.15,0.0455,1.1501,0.06,646.552
0.15,0.0455,1.1501,0.08,643.733
0.15,0.0455,1.1501,0.1,645.195
0.15,0.0455,1.1501,0.12,644.524
0.15,0.0455,1.1501,0.14,646.266
0.15,0.091,0.1643,0.02,640.278
0.15,0.091,0.1643,0.04,640.792
0.15,0.091,0.1643,0.06,637.195
0.15,0.091,0.1643,0.08,633.641
0.15,0.091,0.1643,0.1,631.312
0.15,0.091,0.1643,0.12,638.189
0.15,0.091,0.1643,0.14,643.528
0.15,0.091,0.3286,0.02,637.418
0.15,0.091,0.3286,0.04,644.668
0.15,0.091,0.3286,0.06,642.915
0.15,0.091,0.3286,0.08,638.914
0.15,0.091,0.3286,0.1,644.643
0.15,0.091,0.3286,0.12,641.711
0.15,0.091,0.3286,0.14,642.852
0.15,0.091,0.4929,0.02,641.426
0.15,0.091,0.4929,0.04,638.425
0.15,0.091,0.4929,0.06,638.12
0.15,0.091,0.4929,0.08,640.914
0.15,0.091,0.4929,0.1,641.641
0.15,0.091,0.4929,0.12,643.863
0.15,0.091,0.4929,0.14,639.595
0.15,0.091,0.6572,0.02,647.641
0.15,0.091,0.6572,0.04,642.762
0.15,0.091,0.6572,0.06,641.767
0.15,0.091,0.6572,0.08,642.121
0.15,0.091,0.6572,0.1,635.514
0.15,0.091,0.6572,0.12,641.984
0.15,0.091,0.6572,0.14,643.262
0.15,0.091,0.8215,0.02,640.059
0.15,0.091,0.8215,0.04,646.462
0.15,0.091,0.8215,0.06,641.335
0.15,0.091,0.8215,0.08,641.268
0.15,0.091,0.8215,0.1,643.304
0.15,0.091,0.8215,0.12,644.137
