,SigC,SigH,EpsC,EpsH,density,estimErr
215,0.0750,0.2958,1.068,0.11,446.143,--
216,0.0750,0.2958,1.068,0.13,446.143,--
217,0.125,0.0683,0.2465,0.03,632.032,17.0
218,0.125,0.0683,0.2465,0.05,632.127,19.0
219,0.125,0.0683,0.2465,0.07,637.2,14.0
220,0.125,0.0683,0.2465,0.09,631.436,21.0
221,0.125,0.0683,0.2465,0.11,639.602,15.0
222,0.125,0.0683,0.2465,0.13,631.167,18.0
223,0.125,0.0683,0.4108,0.03,641.432,15.0
224,0.125,0.0683,0.4108,0.05,630.857,17.0
225,0.125,0.0683,0.4108,0.07,628.198,20.0
226,0.125,0.0683,0.4108,0.09,635.797,19.0
227,0.125,0.0683,0.4108,0.11,628.612,18.0
228,0.125,0.0683,0.4108,0.13,635.796,17.0
229,0.125,0.0683,0.5751,0.03,629.047,24.0
230,0.125,0.0683,0.5751,0.05,632.128,22.0
231,0.125,0.0683,0.5751,0.07,635.979,16.0
232,0.125,0.0683,0.5751,0.09,632.083,16.0
233,0.125,0.0683,0.5751,0.11,630.309,24.0
234,0.125,0.0683,0.5751,0.13,634.93,17.0
235,0.125,0.0683,0.7394,0.03,637.204,18.0
236,0.125,0.0683,0.7394,0.05,637.481,18.0
237,0.125,0.0683,0.7394,0.07,642.171,18.0
238,0.125,0.0683,0.7394,0.09,630.594,19.0
239,0.125,0.0683,0.7394,0.11,635.279,17.0
240,0.125,0.0683,0.7394,0.13,630.808,20.0
241,0.125,0.0683,0.9037,0.03,625.977,25.0
242,0.125,0.0683,0.9037,0.05,635.796,19.0
243,0.125,0.0683,0.9037,0.07,636.121,16.0
244,0.125,0.0683,0.9037,0.09,636.89,19.0
245,0.125,0.0683,0.9037,0.11,636.687,17.0
246,0.125,0.0683,0.9037,0.13,631.175,19.0
247,0.125,0.0683,1.068,0.03,634.526,22.0
248,0.125,0.0683,1.068,0.05,639.748,16.0
249,0.125,0.0683,1.068,0.07,632.154,19.0
250,0.125,0.0683,1.068,0.09,633.792,17.0
251,0.125,0.0683,1.068,0.11,641.06,19.0
252,0.125,0.0683,1.068,0.13,637.471,19.0
253,0.125,0.1138,0.2465,0.03,634.848,19.0
254,0.125,0.1138,0.2465,0.05,638.674,18.0
255,0.125,0.1138,0.2465,0.07,630.893,22.0
256,0.125,0.1138,0.2465,0.09,639.961,18.0
257,0.125,0.1138,0.2465,0.11,640.664,20.0
258,0.125,0.1138,0.2465,0.13,638.982,18.0
259,0.125,0.1138,0.4108,0.03,633.148,17.0
260,0.125,0.1138,0.4108,0.05,628.19,17.0
261,0.125,0.1138,0.4108,0.07,630.419,22.0
262,0.125,0.1138,0.4108,0.09,644.177,18.0
263,0.125,0.1138,0.4108,0.11,638.908,17.0
264,0.125,0.1138,0.4108,0.13,637.548,20.0
265,0.125,0.1138,0.5751,0.03,631.32,18.0
266,0.125,0.1138,0.5751,0.05,634.947,21.0
267,0.125,0.1138,0.5751,0.07,634.889,21.0
268,0.125,0.1138,0.5751,0.09,635.663,17.0
269,0.125,0.1138,0.5751,0.11,632.41,18.0
270,0.125,0.1138,0.5751,0.13,632.223,22.0
271,0.125,0.1138,0.7394,0.03,636.053,18.0
272,0.125,0.1138,0.7394,0.05,640.328,18.0
273,0.125,0.1138,0.7394,0.07,632.464,21.0
274,0.125,0.1138,0.7394,0.09,637.831,20.0
275,0.125,0.1138,0.7394,0.11,640.374,17.0
276,0.125,0.1138,0.7394,0.13,643.432,19.0
277,0.125,0.1138,0.9037,0.03,637.607,15.0
278,0.125,0.1138,0.9037,0.05,632.981,19.0
279,0.125,0.1138,0.9037,0.07,639.454,19.0
280,0.125,0.1138,0.9037,0.09,641.335,14.0
281,0.125,0.1138,0.9037,0.11,636.009,19.0
282,0.125,0.1138,0.9037,0.13,636.281,21.0
283,0.125,0.1138,1.068,0.03,643.511,17.0
284,0.125,0.1138,1.068,0.05,640.529,15.0
285,0.125,0.1138,1.068,0.07,635.3,21.0
286,0.125,0.1138,1.068,0.09,637.214,18.0
287,0.125,0.1138,1.068,0.11,635.283,21.0
288,0.125,0.1138,1.068,0.13,643.271,17.0
289,0.125,0.1593,0.2465,0.03,642.949,16.0
290,0.125,0.1593,0.2465,0.05,647.679,16.0
291,0.125,0.1593,0.2465,0.07,653.055,15.0
292,0.125,0.1593,0.2465,0.09,652.402,16.0
293,0.125,0.1593,0.2465,0.11,650.272,23.0
294,0.125,0.1593,0.2465,0.13,654.273,19.0
295,0.125,0.1593,0.4108,0.03,642.35,17.0
